profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir,eslesen_sehir
neslihan4490,125.0,181.0,220.0,9.0,malatya,Malatya
Halime_Bozdogan,115.0,34.0,25.0,9.0,eski̇şehi̇r,Eskişehir
SaltukBugra_Karadag,72.0,6.0,10.0,5.0,sakarya,Sakarya
sevgisarisac1gmailcom,65.0,6.0,3.0,6.0,ankara,Ankara
meryem-erbek-2694,52.0,18.0,16.0,0.0,adana,Adana
aysey27,85.0,9.0,42.0,42.0,gazi̇antep,Gaziantep
mrvtopal,131.0,18.0,251.0,5.0,bursa,Bursa
muhammedmeliha,62.0,17.0,13.0,10.0,elaziğ,Elazığ
Kadriyece,134.0,9.0,12.0,7.0,şanliurfa,Şanlıurfa
rukiyeeeeeeeeeee,80.0,116.0,394.0,11.0,adiyaman,Adıyaman
fyznisse,84.0,31.0,17.0,1.0,tokat,Tokat
Hazal_Adali,98.0,2.0,5.0,2.0,kahramanmaraş,Kahramanmaraş
Esma_Yesilova,110.0,14.0,31.0,7.0,konya,Konya
kardelen-karacete-0453,48.0,20.0,56.0,51.0,hatay,Hatay
evdeyasamff,52.0,17.0,19.0,1.0,edi̇rne,Edirne
Nevin_Yilmaz15,93.0,154.0,176.0,175.0,bursa,Bursa
busilaaa,49.0,12.0,61.0,53.0,artvi̇n,Artvin
gokcenarttirici,49.0,13.0,20.0,11.0,osmani̇ye,Osmaniye
emineyiltas,79.0,5.0,10.0,2.0,ankara,Ankara
dryelg,84.0,57.0,87.0,15.0,teki̇rdağ,Tekirdağ
sena-yildiz-0028,49.0,12.0,6.0,2.0,gazi̇antep,Gaziantep
rumeysagdk,48.0,10.0,6.0,0.0,ordu,Ordu
TayfunYagmur_Tekes,51.0,12.0,11.0,7.0,aydin,Aydın
mehtapogretmen,106.0,53.0,39.0,4.0,balikesi̇r,Balıkesir
derya0716,105.0,73.0,129.0,6.0,ankara,Ankara
Canan_DogancayGok,124.0,2.0,2.0,0.0,ankara,Ankara
Erhan_Dadli,77.0,3.0,18.0,31.0,konya,Konya
nytuser_nuriyekaya_1086,48.0,18.0,17.0,6.0,yozgat,Yozgat
nisa_karabalik2334,15.0,43.0,45.0,0.0,elaziğ,Elazığ
edakulekci,6.0,20.0,16.0,4.0,erzurum,Erzurum
mhaygordu,56.0,48.0,289.0,225.0,ankara,Ankara
