profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir
mehtap-eker,152,346.0,581,115,balikesi̇r
rabiaozturkmutfakta,54,194.0,326,3,i̇stanbul
Gulfiye06,126,3.0,3,30,ankara
smeyrauysl,61,1.0,16,38,teki̇rdağ
Emelce-Lezzetli-Anlar,105,14.0,36,0,gazi̇antep
Bengul_Demir,119,171.0,84,10,i̇stanbul
Meryem_Samet,103,347.0,339,0,antalya
goog_5e91cd53dd04,50,6.0,6,6,eski̇şehi̇r
kiymos,51,27.0,205,1139,ankara
Zehra_Kahraman16,75,108.0,134,184,yozgat
Deniz_Bahar2,117,17.0,14,16,
Didem_Guneren,141,138.0,365,5,yurtdişi (a.b.d.)
eyup-1810,51,14.0,3,8,
funda_colak52,50,49.0,74,17,
ayselinmutfagi-com,77,717.0,908,6,afyon
haticeninnefissunumlari,50,76.0,210,26,
dilanne,75,9.0,48,46,mardi̇n
ikranur-samanli-7177,53,29.0,11,3,balikesi̇r
betulyilmaz1507,74,15.0,14,1,
kaderfrat,65,12.0,17,0,malatya
tubktas,92,69.0,49,32,mani̇sa
ronahininmutfagi,93,335.0,8879,31,i̇stanbul
hiranurmelik,73,20.0,14,4,ankara
Dilber_Caliskan,91,461.0,330,50,edi̇rne
petek-turetken-1002,53,56.0,664,374,yurtdişi
Htc_Ay,123,160.0,276,13,tokat
nazli-kaynar-0655,52,28.0,16,51,gazi̇antep
kskrn,59,89.0,652,1834,
sumeyye-yigit,52,10.0,110,13,şanliurfa
Gulnaz_Karasu,51,1.0,0,1,i̇stanbul
hryngl,56,1.0,1,2,
rumeysa258,68,3.0,6,11,gazi̇antep
aysblc68,57,52.0,49,2,çanakkale
aybukebeyza,94,50.0,59,17,van
ozlemasakaradag,51,52.0,92,0,i̇stanbul
esila2610,77,20.0,49,46,osmani̇ye
defneyapragiseda,102,41.0,147,12,i̇stanbul
kitchens,60,3.0,4,11,bursa
nurcankansiz53afiyettekalin,53,77.0,107,6,yurtdişi
Irem_Kandas,121,10.0,12,12,i̇stanbul
Eda_Bozkurt20,79,5.0,16,25,yurtdişi
ilkadim-seflige,54,6.0,7,0,adana
pelinkonar,53,187.0,143,35,i̇zmi̇r
breadandeat5506,55,309.0,1382,0,
herdemmutfak-7284,52,76.0,37,4,i̇stanbul
Ece_Altin,54,4.0,7,0,
Emine_Taydas,109,32.0,99,0,yurtdişi
Gulay_Com,131,36.0,91,151,i̇stanbul
nuryavas10,53,18.0,10,2,balikesi̇r
Damla_Gok3,91,44.0,72,60,
kezibankocak3342,52,21.0,40,1,bursa
42alya42,62,24.0,14,26,konya
gncbn06,106,1.0,3,1,ankara
cananaran1294,52,20.0,20,4,i̇stanbul
berfa,56,34.0,41,6,ağri
patlak07,71,10.0,15,1,
fatosunmutfagi21,53,322.0,398,12,manisa
resancance,142,72.0,65,28,ankara
ecemdemirel9594,53,14.0,13,14,
tugbasbo,75,217.0,110,17,gazi̇antep
Mine_GokmenKartal,147,10.0,29,19,ankara
Tuba_Kayim,123,228.0,754,13,yurtdişi
Candan_Sen,57,12.0,4,8,
Lezzet_Kusagm,53,118.0,329,6,i̇stanbul
Hande_YalcinkayaIzgordu,133,6.0,2,1,mersi̇n
gulunmutfagi47,73,85.0,194,313,mardi̇n
Ilknur_Kaya20,113,1.0,0,0,i̇stanbul
eslemsumeyye,97,41.0,124,23,afyon
zeynepbingol3400,77,21.0,107,197,erzi̇ncan
uckizkardesinmutfagi,53,72.0,137,22,ki̇li̇s
leylaydn,101,31.0,17,12,bursa
tarifsokagi,57,180.0,1756,18,
rabianinbloguu,59,732.0,2113,15,sakarya
Esin_Gorenek,114,2.0,0,1,
ssenaaa,64,4.0,10,14,
nytuser_beyzakaradal_5387,53,2.0,1,5,şanliurfa
nur3125,59,13.0,11,27,erzurum
burcucenterakkuzu,110,137.0,1171,3464,i̇stanbul
Tulay_Demirhan,116,22.0,52,3,kocaeli̇
Hafize_Carlik,79,30.0,66,131,
runamles,71,6.0,53,50,çankiri
tansuma,61,30.0,93,108,gazi̇antep
fatoscakmak,57,41.0,31,8,şanliurfa
Gulten_Akgok,149,11.0,25,24,yurtdişi
ezoo1,69,7.0,6,2,adana
Musa_Yuvarlaktas,73,36.0,17,3,bartin
2112zumra,54,7.0,2,1,
ikikardesinyaptiklari,55,42.0,46,1,
niluferinsunumdunyasl3229,72,199.0,240,5,şanliurfa
duygu-serin-9700,54,1.0,1,2,
Nese_UzunCanpolat,94,2.0,6,2,
Sadika_Karamil,61,38.0,22,30,muğla
demetsoner,67,3.0,0,1,
Levent_Sahin2,102,18.0,141,112,si̇vas
Sureyya_KocSahin,118,272.0,1093,10,ankara
busrayndm,55,23.0,32,42,i̇stanbul
zeynep22esk,102,91.0,509,28,kocaeli̇
emine-bahadir,58,27.0,37,16,
aleynayamak,57,19.0,46,19,bursa
Sehri_Evcimen,54,6.0,7,4,
mihribanalkaya0666,55,219.0,1925,5,ankara
mtfkece,61,11.0,33,11,
gamzemutfaktaa,105,74.0,73,0,
semakoz61,57,275.0,2855,83,yurtdişi
aktasssss,85,106.0,142,55,yurtdişi
kbren,55,46.0,136,131,
tarifdenizii,59,47.0,292,11,i̇stanbul
filizkankilic,55,18.0,125,108,gazi̇antep
htcntz,55,51.0,46,5,
sevalekbul,75,203.0,536,6,i̇stanbul
zulalllc,60,19.0,129,0,
Sebnem_Acar3,55,16.0,14,7,yalova
Erdal_Ozdemir2,79,180.0,1008,69,
poyraznannesi33,56,31.0,7,0,mersi̇n
sevimlianka,77,48.0,15,1,i̇stanbul
iremhk,75,24.0,117,96,
Kubra_Oztrk,132,185.0,487,5,
habik5,64,3.0,31,30,bursa
izmirbucaa,125,34.0,47,180,hatay
simaikra,107,86.0,40,1,ankara
yvzekk,63,152.0,963,385,kocaeli̇
