kayit_ay,tarif_sayisi,takipci,takip,sehir,profil_id
64.0,260.0,2472.0,2635.0,i̇stanbul,100528
110.0,21.0,12.0,5.0,,175074
61.0,10.0,98.0,61.0,çorum,100530
67.0,3.0,4.0,17.0,,175075
87.0,4.0,15.0,31.0,i̇stanbul,100532
127.0,8.0,7.0,10.0,,175076
146.0,324.0,927.0,11.0,i̇zmi̇r,100534
93.0,20.0,21.0,22.0,si̇i̇rt,175077
96.0,4.0,2.0,0.0,,175078
84.0,8.0,14.0,1.0,i̇stanbul,100537
62.0,16.0,75.0,25.0,kirikkale,100538
74.0,10.0,22.0,17.0,kahramanmaraş,100539
74.0,36.0,33.0,1.0,hatay,100540
67.0,2.0,15.0,34.0,i̇stanbul,175079
75.0,2.0,6.0,0.0,i̇stanbul,100542
62.0,18.0,7.0,6.0,,100543
84.0,41.0,128.0,204.0,afyon,100544
61.0,1.0,0.0,0.0,,100545
68.0,14.0,29.0,13.0,ankara,100546
126.0,20.0,23.0,5.0,konya,100547
62.0,5.0,0.0,2.0,teki̇rdağ,100548
137.0,56.0,61.0,4.0,yurtdişi,100549
65.0,9.0,8.0,5.0,ankara,175080
61.0,2.0,2.0,2.0,,100551
96.0,16.0,13.0,18.0,şanliurfa,100552
61.0,40.0,260.0,396.0,i̇stanbul,100553
61.0,3.0,2.0,2.0,,100554
61.0,30.0,4.0,1.0,,100555
111.0,340.0,610.0,9.0,i̇stanbul,175081
120.0,213.0,387.0,165.0,malatya,175082
78.0,8.0,9.0,41.0,i̇stanbul,100558
120.0,5.0,0.0,2.0,i̇stanbul,175083
61.0,4.0,38.0,67.0,mardi̇n,100560
94.0,4.0,0.0,2.0,,175084
104.0,18.0,38.0,62.0,ankara,100562
76.0,39.0,69.0,122.0,aydin,175085
124.0,34.0,121.0,25.0,antalya,175086
62.0,12.0,9.0,9.0,i̇stanbul,175087
124.0,16.0,26.0,17.0,,100566
97.0,21.0,10.0,6.0,i̇stanbul,100567
66.0,48.0,226.0,1036.0,ankara,100568
106.0,84.0,131.0,7.0,ankara,100569
108.0,18.0,13.0,12.0,,175088
136.0,14.0,16.0,1.0,i̇stanbul,175089
107.0,15.0,10.0,9.0,i̇stanbul,175090
